ID,Publication Type,Article Title,Source Title,Conference Title,Abstract
1,C,Enhancing Visual Information Extraction with Large Language Models Through Layout-Aware Instruction Tuning,"PATTERN RECOGNITION AND COMPUTER VISION, PRCV 2024, PT VII",7th Chinese Conference on Pattern Recognition and Computer Vision,"Recently, leveraging large language models (LLMs) for visually-rich document information extraction has made significant progress. Previous studies have simplified the task of visual information extraction into a document visual question answering task. This task involves a question-answer session that yields a single entity result at a time, serving as a means of validating the document understanding capabilities of large language models (LLMs). However, these methods encounter significant challenges in computational efficiency and cost when addressing the document digitization requirements for extracting multiple entities from a single document. This scenario is common in practical applications of visual information extraction. This paper builds upon large language model and incorporates document layout information through a document layout modeling branch. We also design a layout-aware and task-specific instruction set. To further enhance the model's proficiency in learning document layout information, we initially augment the tokenizer's vocabulary. Subsequently, the entire model undergoes fine-tuning to ensure improved adaptability to the expanded vocabulary and effective extraction of document layout features. By harnessing the exceptional language comprehension capabilities of LLMs, our model is capable of executing comprehensive entity extraction for an entire document in a single pass. Benefiting from the characteristics of generative large language models, we can accomplish multiple downstream tasks of visual information extraction using an individual model. Our experimental results demonstrate consistent improvement over the baseline model across a range of document visual information extraction tasks."
2,C,FetalExtract-LLM: Structured Information Extraction from Free-Text Fetal MRI Reports Based on Privacy-Ensuring Open-Weights Large Language Models,"PERINATAL, PRETERM AND PAEDIATRIC IMAGE ANALYSIS, PIPPI 2025",10th International Workshop on Perinatal Preterm and Paediatric Image Analysis-PIPPI,"Magnetic resonance imaging (MRI) is essential for evaluating fetal abnormality, providing superior soft tissue contrast to ultrasound. Radiologists write unstructured free-text reports documenting findings in MRI data, but this format hinders retrospective access and secondary data usage. Structuring these reports facilitates cohort identification for research, supports the development of medical AI systems, and enables educational applications. However, the diverse linguistic styles and inconsistent formatting of free-text reports pose significant challenges for structured information extraction. Despite the capabilities of proprietary large language models (LLMs) like GPT, Claude and Gemini in automating extraction via zero-shot prompting, their cost and privacy limitations prohibit their use. To address these problems, this study introduces FetalExtract-LLM, the first fetal MRI report structured information extraction model developed through instruction tuning of an open-weights, privacy-preserving LLM. Experimental results show that FetalExtract-LLM achieves 0.987 average F1-score in per-key matching, on par with proprietary models, with additional metrics of 1.000 JSONable accuracy, 0.966 domain compliance accuracy, 0.829 positive finding accuracy, and 0.770 exact matching accuracy"
3,J,Leveraging Generative AI and Large Language Model for Process Systems Engineering: A State-of-the-Art Review,KOREAN JOURNAL OF CHEMICAL ENGINEERING,,"Process systems engineering (PSE) has long been recognized as a critical discipline in chemical engineering for improving process efficiency through mathematical modeling, optimization, and control. The advent of Industry 4.0 has advanced PSE by integrating it with innovative digital tools, including big data analytics, artificial intelligence (AI), and machine learning. In this context, large language models (LLMs), which are state-of-the-art AI techniques, represent transformative generative AI (GenAI) technologies capable of advancing automation, process optimization, and knowledge extraction in PSE. However, the application of LLMs in PSE is in its nascent stage and is constrained by challenges, such as data quality, interpretability, and scalability. Nonetheless, the application of LLMs is expected to foster significant progress in PSE research, including chemical process design, hybrid process modeling, autonomous control systems, and multiscale optimization. This review aims to provide an introduction to LLM and GenAI and explore how LLMs have been utilized to overcome the traditional limitations of PSE research by offering innovative digital solutions, such as data enrichment and seamless integration with digital twins. This study highlights the potential of LLMs to transform PSE methodologies and lead the field into a new era of Chemical Engineering 4.0."
4,J,Use of Machine Learning and Large Language Models in Chemical Information Extraction,ANNUAL REVIEW OF CHEMICAL AND BIOMOLECULAR ENGINEERING,,"Rich information in the chemical literature presents unprecedented opportunities for accelerating discovery and optimization in chemistry through data-driven approaches. Nevertheless, converting raw information in the literature into structured databases relies primarily on manual curation, which is time-consuming and costly. In this review, we comprehensively examine recent advances in automatic chemical information extraction from the literature, focusing on image and text modalities. We trace the evolution from early rule-based and machine learning approaches to state-of-the-art methods leveraging large language models (LLMs) and vision language models. We discuss core tasks such as optical chemical structure recognition, reaction diagram parsing, named entity recognition, and experimental procedure extraction, highlighting representative methods, benchmark data sets, and practical challenges such as multimodal integration and data annotation. By systematically comparing these approaches, we identify key trends and persistent limitations and outline promising future directions toward robust, scalable, and automated chemical information extraction frameworks. This review aims to provide a practical guide for researchers seeking to harness machine learning and LLM technologies to accelerate the digital transformation of chemical science."
5,J,THE INTEGRATION OF GENERATIVE ARTIFICIAL INTELLIGENCE IN THE AUDIOVISUAL POST-PRODUCTION WORKFLOW,PRISMA SOCIAL,,"The field of artificial intelligence (AI) has witnessed a remarkable surge in advancement, particularly in the realm of machine learning, where notable developments have been observed in the use of convolutional neural networks (CNN) and generative adversarial networks (GAN). The implementation of these technologies in the creative industries has undergone a rapid evolution, progressing from information analysis and data compression to the development of Generative AI (Gen AI) tools for the creation of audiovisual content. This descriptive-exploratory study analyses the application of Gen AI in the audiovisual post- production processes of La Mesias (Movistar Plus+, 2023), which has pioneered the use of AI in the Spanish industrial context. In addition, it explores the characteristics of the visual style resulting from its implementation. The methodological design combines the approaches of Media Industry Studies and organisational sociology, utilising a combination of hemerographic reviews, an indepth interview and a technical analysis of the affected sequences. The workflow phases in which Gen AI was employed have been identified and classified according to the categories proposed by Anantrasirichai and Bull (2022): content creation, information analysis, content and workflow improvement, and information extraction. The results demonstrate that Gen AI has a significant impact on visual effects and 2D/3D compositing, resulting in a style of enhanced realism with dreamlike atmospheres."
6,J,Improving large language models for miRNA information extraction via prompt engineering,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,,"Objective: Large language models (LLMs) demonstrate significant potential in biomedical knowledge discovery, yet their performance in extracting fine-grained biological information, such as miRNA, remains insufficiently explored. Accurate extraction of miRNA-related information is essential for understanding disease mechanisms and identifying biomarkers. This study aims to comprehensively evaluate the capabilities of LLMs in miRNA information extraction through diverse prompt learning strategies. Methods: Three high-quality miRNA information extraction datasets were constructed to support the benchmarking and training of generative LLMs, specifically Re-Tex, Re-miR and miR-Cancer. These datasets encompass three types of entities: miRNAs, genes, and diseases, along with their relationships. The accuracy and reliability of three LLMs, including GPT-4o, Gemini, and Claude, were evaluated and compared with traditional models. Different prompt engineering strategies were implemented to enhance the LLMs' performance, including baseline prompts, 5-shot Chain of Thought prompts, and generated knowledge prompts. Results: The combination of optimized prompt strategies significantly improved overall entity extraction performance across both trained and untrained datasets. Generated knowledge prompting achieved the highest performance, with maximum F1 scores of 76.6 % for entity extraction and 54.8 % for relationship extraction. Comparative analysis indicated GPT-4o exhibited superior performance to Gemini, while Claude showed the lowest performance levels. Extraction accuracy varied considerably across entity types, with miRNA recognition achieving the highest performance and gene/protein identification demonstrating the lowest accuracy levels. Furthermore, binary relationship extraction accuracy was significantly lower than entity extraction performance. The three evaluated LLMs showed similarly limited capability in relationship extraction tasks, with no statistically significant differences observed between models. Finally, comparison with conventional computational methods revealed LLMs have not yet exceeded traditional methods in this specialized domain. Conclusion: This study established high-quality miRNA datasets to support information extraction and knowledge discovery. The overall performance of LLMs in this study proved limited, and challenges remain in processing miRNA-related information extraction. However, optimized prompt combinations can substantially improve performance. Future work should focus on further refinement of LLMs to accelerate the discovery and application of potential diagnostic and therapeutic targets."
7,J,Military Equipment Entity Extraction Based on Large Language Model,APPLIED SCIENCES-BASEL,,"The technology of military equipment entity extraction, a crucial component in constructing military knowledge bases, holds significant research value and theoretical importance for guiding the development and improvement of equipment support forces. In the military domain, equipment entities exhibit a phenomenon of nesting, where one entity is contained within another, and abbreviations or codes are frequently used to represent these entities. To address this complexity, this paper proposes a method named CoTNER for extracting entities. Initially, a large-scale language model is used to perform data augmentation with chain-of-thought on the original dataset, providing additional semantic and contextual information. Subsequently, the augmented dataset is fine-tuned on a small-scale language model to adapt it to the task of military equipment entity extraction and to enhance its ability to learn complex rules specific to the domain of military equipment. Additionally, a high-quality data filtering strategy based on instruction-following difficulty scoring is proposed to address the catastrophic forgetting issue that may occur during the fine-tuning of large language models. The experimental results demonstrate that the proposed military equipment entity extraction method outperforms mainstream traditional deep learning methods, validating the effectiveness of CoTNER."
8,C,LLM for Uniform Information Extraction Using Multi-task Learning Optimization,"WEB AND BIG DATA. APWEB-WAIM 2024 INTERNATIONAL WORKSHOPS, KGMA 2024, SEMIBDMA 2024, MADM 2024, AIEDM 2024 AND STBDM 2024",8th Asia Pacific Web and Web-Age Information Management Joint International Conference on Web and Big Data,"With the increasing maturity of deep learning technology, large language models have shown excellent performance in the field of natural language processing, but the performance of information extraction is yet to be further improved. In this paper, we use 7B Llama-2 as a base model training to obtain a large language model capable of using natural language to guide information extraction tasks, which can solve the challenges faced by traditional information extraction methods, and also innovatively use multi-task learning optimization to improve the performance of the large model. We performed large-scale pretraining and instruction tuning on the big model LLama-2. Based on the highquality and richly typed training data automatically constructed by ChatGPT, remote supervision, and other algorithms, which contains a total of 1 million entities, relations, and events, we designed corresponding English templates for instruction tuning. Second, we performed supervised fine-tuning of the model using manually labeled high-quality training sets. To further improve the model performance, we innovatively adopt a multi-task learning optimization strategyGradNorm, which can dynamically adjust the weights of different tasks, thus balancing the losses among tasks during the training process and reducing the overall training loss. After information extraction experiments, our model is compared with other models to test the performance of uniform information extraction for large models, and the experimental results show that our model performs well."
9,J,Evaluating large language models for information extraction from gastroscopy and colonoscopy reports through multi-strategy prompting,JOURNAL OF BIOMEDICAL INFORMATICS,,"Objective: To systematically evaluate large language models (LLMs) for automated information extraction from gastroscopy and colonoscopy reports through prompt engineering, addressing their ability to extract structured information, recognize complex patterns, and support diagnostic reasoning in clinical contexts. Methods: We developed an evaluation framework incorporating three hierarchical tasks: basic entity extraction, pattern recognition, and diagnostic assessment. The study utilized a dataset of 162 endoscopic reports with structured annotations from clinical experts. Various language models, including proprietary, emerging, and open-source alternatives, were evaluated under both zero-shot and few-shot learning paradigms. For each task, multiple prompting strategies were implemented, including direct prompting and five Chain-of-Thought (CoT) prompting variants. Results: Larger models with specialized architectures achieved better performance in entity extraction tasks but faced notable challenges in capturing spatial relationships and integrating clinical findings. The effectiveness of few-shot learning varied across models and tasks, with larger models showing more consistent improvement patterns. Conclusion: These findings provide important insights into the current capabilities and limitations of language models in specialized medical domains, contributing to the development of more effective clinical documentation analysis systems."
10,C,LLM Collaboration PLM Improves Critical Information Extraction Tasks in Medical Articles,"HEALTH INFORMATION PROCESSING: EVALUATION TRACK PAPERS, CHIP 2023",9th China Health Information Processing Conference (CHIP),"With the development of modern medical informatics and databases, medical professionals are increasingly inclined to use evidence-based medicine to guide their learning and work. Evidence-based medicine requires a large amount of data and literature information, where most search processes are keyword retrieval. Therefore, anticipating these key information through the model can play an important role in optimizing the query. In the past, the PLM (Pre-trained Language Model) model was mainly used for information extraction, but due to the complexity of the sequence semantic structure and task diversity, it is difficult for traditional PLM to achieve the desired effect. With the advancement of LLM (Large Language Model) technology, these issues can now be well managed. In this paper, we discuss the information extraction evaluation task CHIP-PICOS, and finally decompose it into classification and information extraction sub-problems, applying PLM and LLM respectively, and analyzing the advantages and disadvantages and differences between PLM and LLM. The results show that our framework has achieved significant performance."
