ID,Title,Year,Source title,Abstract,Author Keywords,Document Type
1,Enhancing Few-Shot Biomedical Relation Extraction Using Large Language Models: A Two-Step Prompting Approach,2025,"2025 4th International Conference on Artificial Intelligence, Internet of Things and Cloud Computing Technology, AIoTC 2025","Relation extraction plays a key role in biomedical information extraction. However, traditional approaches are often limited by high data annotation costs and extensive time investments. To address this challenge, we introduce a new twostep extraction method, called 'Extract-Verify'. Our framework consists of primarily two components: 1. We create a domainspecific prompt template for the extract step, with distinct rolesetting, task descriptions, relation descriptions, and Chain-of-Thought reasoning, to extract relations and generate confidence scores. 2. Then we provide another prompt for the verify step, so that we can encourage the Large Language Models to review the first extraction results. Our model demonstrated exceptional performance in three datasets, including DDI, ChemProt, and I2B2-2010RE. In the 1-shot settings, the F1 scores are 59.89%, 63.40% and 68.69%, respectively. © 2025 IEEE.",few-shot learning; large language models; prompt engineering; self-verification,Conference paper
2,"AI-assisted interpretation of Markush structures in pharmaceutical patents: a review of emerging tools, datasets, and challenges",2026,Journal of Cheminformatics,"Automated interpretation of Markush structures widely used in pharmaceutical patents to claim large families of related compounds remains challenging due to non-machine-readable structure images, variable R-groups, dependency rules, scaffold diversity, and heterogeneous claim language. Challenges include attachment points and stereochemistry, nested/conditional dependencies, and inconsistent drafting conventions that hinder faithful enumeration. Early rule-based cheminformatics systems parsed claims and mapped Markush representations into searchable formats, but struggled with nested dependencies, cross-references, and multimodal (text + image) descriptions. More recently, artificial intelligence (AI) methods have been introduced including language-based tools, vision-based tools, and multimodal or hybrid tools. Language-based tools increasingly use large language models (LLMs) and natural language processing (NLP) capabilities to extract variable definitions, constraints, and dependency graphs from claim text; vision systems translate structure depictions into machine-readable formats (e.g., SMILES, CXSMILES); multimodal or hybrid pipelines align both for end-to-end interpretation. Emerging datasets support these efforts, though licensing, family-wise leakage, and standardized splits remain inconsistent. This narrative review synthesizes tools, datasets, and evaluation practices for AI-assisted Markush interpretation, identifies persistent failure modes, and maps open legal questions (sufficiency, enablement, enforceability). We outline priorities for the field; transparent benchmarks with family-aware splits, interpretable constraint handling, and workflows aligned with U.S. Patent Office practice, near-term use is decision support, not legal advice. © The Author(s) 2026.",Cheminformatics; Information extraction; Large language models (LLMs); Markush claims; Multimodal learning; Patent analytics; R-group parsing; Structure recognition,Review
3,Knowledge graph-enhanced large language models for explainable causal analysis of crane accidents,2026,Reliability Engineering and System Safety,"Crane accidents are characterized by high suddenness, chain-like evolution, and strongly coupled causal factors. Traditional experience-driven approaches are insufficient for reliable causal analysis and evidence-grounded interpretation. This study proposes a knowledge graph-enhanced large language model framework for explainable causal analysis and question answering in crane accident scenarios. A domain-specific ontology for crane accident causation is established based on the human-machine-environment-management (HMEM) framework, and a multi-stage automated knowledge extraction pipeline is developed. Using few-shot prompting, relation enrichment, and self-discrimination filtering, the method achieves high-consistency extraction of accident entities and relationships, resulting in a high-quality crane accident knowledge graph. A Graph Retrieval-Augmented Generation (GraphRAG) mechanism is further introduced to integrate BAAI General Embedding (BGE)-based semantic vector retrieval with multi-hop causal path expansion, enabling the retrieval of structurally constrained causal evidence. An evidence-constrained generation strategy ensures that the produced responses are logically coherent, consistent with retrieved causal evidence, and traceable. The CraneSafe QA prototype system supports knowledge extraction, graph visualization, causal chain analysis, and interactive reasoning. Experiments demonstrate improvements in retrieval accuracy, evidence consistency, and noise robustness, with stable performance across queries of varying semantic depth. The results indicate that knowledge graph-enhanced large language models substantially improve the reliability and interpretability of causal analysis in crane accident scenarios. © 2026 Elsevier Ltd.",Causal analysis; Crane accidents; Explainable question answering; Graph retrieval-augmented generation; Knowledge graph; Large language model,Article
4,"19th International Conference on Document Analysis and Recognition, ICDAR 2025",2026,Lecture Notes in Computer Science,The proceedings contain 148 papers. The special focus in this conference is on Document Analysis and Recognition. The topics include: SFDLA: Source-Free Document Layout Analysis; IndicDLP: A Foundational Dataset for Multi-lingual and Multi-domain Document Layout Parsing; uniLayDet: Simple Multi-dataset Document Layout Analysis; HIP: Hierarchical Point Modeling and Pre-training for Visual Information Extraction; the Return of Structural Handwritten Mathematical Expression Recognition; PACM: Position-Aware Cross-Modality Decoder for Handwritten Mathematical Expression Recognition; from Scribbles to Text: A Novel Transformer-Based Recognition Model for Child Handwriting; DCC: Plug-and-Play Dynamic Category Compression for Enhanced Handwritten Text Generation; template-Guided Cascaded Diffusion for Stylized Handwritten Chinese Text-Line Generation; FSTDiff: One-Shot Font Generation via Cross-Font Style Transformation Learning; AI-Generated Lecture Slides for Improving Slide Element Detection and Retrieval; InfoDesignLM: An LLM for Interactive and Controllable Infographic Designing Through Text; Layout-Aware Text Editing for Efficient Transformation of Academic PDFs to Markdown; HiDReader: Human-Inspired Document Reading Agent via Reinforcement Learning; SemiTabDETR: End-to-End Semi-supervised Table Detection with Transformer-Based Enhanced Query Approach; TexTAR: Textual Attribute Recognition in Multi-domain and Multi-lingual Document Images; a Novel Multi-modal Dataset and Method for Handwritten Signature Recognition with Image-Audio Fusion; personality Trait Prediction from Twitter Data Using Text and Image Features; ComicsPAP: Understanding Comic Strips by Picking the Correct Panel; T-LLaVA: An Effective Saliency-Aware Slicing Strategy for Text Recognition; from Conversations to Insights: A Multimodal Approach to Discussion Summarization; SemSyn-LCE: A Charge Prediction Method Based on Semantic Syntactic Fusion and Legal Constituent Elements Matching; expertise Finding: Domain Extraction from Documents Using Fuzzy Clustering.,,Conference review
5,Transformer-Based Models for Natural Language Processing: A Review of Methods and Applications,2026,"2026 5th International Conference on Electronics Technology and Artificial Intelligence, ETAI 2026","Transformer architectures have become the dominant backbone for modern natural language processing (NLP), enabling major advances in language understanding, generation, and interactive systems. This review summarizes the methodological foundations of Transformers, organizes key model families (encoder-only, decoder-only, and encoder-decoder), and surveys representative pre-training objectives, adaptation/alignment techniques, and efficiency improvements for long-context and large-scale training. We further provide a task-oriented review of Transformer applications, including machine translation, information extraction, question answering, summarization, dialogue, and information retrieval, with a focused discussion of Chinese NLP research and evaluation resources. Finally, we outline open challenges-data governance, hallucination/factuality, controllability, long-context reliability, and efficient deployment-and highlight promising research directions such as retrieval-augmented generation, parameter-efficient tuning, and multimodal/agentic extensions.  © 2026 IEEE.",Chinese NLP; large language models; long context; parameter-efficient tuning; pre-training; retrieval-augmented generation; self-attention; Transformer,Conference paper
6,Opportunities of applying Large Language Models in building energy sector,2025,Renewable and Sustainable Energy Reviews,"In recent years, the rapid advancement and impressive capabilities of Large Language Models have been evident across various engineering domains. This paper explores the application, implications, and potential of Large Language Models in building energy sectors, especially energy efficiency and decarbonization studies, based on an extensive literature review and a survey from building engineers and scientists. The paper explores how LLMs can enhance intelligent control systems, automate code generation for software and modeling tools, optimize data infrastructure, and refine analysis of technical reports and papers. Additionally, the paper discusses the role of LLMs in improving regulatory compliance, supporting building lifecycle management, and revolutionizing education and training practices within the sector. Despite the promising potential of Large Language Models, challenges including complex and expensive computation, data privacy, security and copyright, complexity in fine-tuned Large Language Models, and self-consistency are discussed. The paper concludes with a call for future research focused on the enhancement of LLMs for domain-specific tasks, multi-modal LLMs, and collaborative research between AI and energy experts. © 2025",Building decarbonization; Building energy efficiency; Data infrastructure; Education and training; Intelligent control systems; Knowledge extraction; Large language models,Review
7,A large language model-enabled machining process knowledge graph construction method for intelligent process planning,2025,Advanced Engineering Informatics,"As a pivotal step in translating design into production, process planning significantly influences product quality, cost, production efficiency, and market competitiveness. The process knowledge base, a fundamental element of process planning, determines the intelligence level of product manufacturing. Methods that construct process knowledge bases using Knowledge Graphs (KGs) have increasingly become critical technologies for supporting intelligent process planning. However, traditional deep learning-based named entity recognition methods for constructing KGs require extensive manual effort in domain-specific data annotation, resulting in inefficiencies, prolonged construction cycles, and high costs. To address these challenges, this paper introduces a Large Language Model-enabled method for constructing Machining Process KGs (LLM-MPKG). Initially, Large Language Models (LLMs) are employed to pre-annotate machining process text datasets. A verifier is then developed to assess and filter the pre-annotated datasets, with domain experts re-annotating deficient data to create a high-quality annotated machining process dataset. Subsequently, using this dataset and a fine-tuned LLM, a machining process knowledge extraction model, MPKE-GPT, is constructed. MPKE-GPT is then applied to extract knowledge from process planning case data for 50 parts within an enterprise, leading to the creation of the MPKG. A prototype system was also developed to support intelligent process planning. Compared to traditional deep learning methods, the proposed method reduces construction time by 48.58%, lowers costs by 46.44%, and enhances performance by 1.96%. © 2025 Elsevier Ltd",Intelligent process planning; Knowledge graphs; Large language models; Machining process,Article
8,MED-KG-LLM: A Modular Pipeline for Knowledge Graph–Augmented Medical Question Answering on Clinical Data,2026,Lecture Notes in Computer Science,"With the growing digitization of electronic health records (EHRs), there is an urgent need to transform raw, unstructured clinical tabular data into structured representations that support accurate and explainable question answering (QA). We introduce MED-KG-LLM, a fully modular and scalable pipeline that ingests raw dataset based patient-symptom records, performs hybrid named entity recognition (NER) using spaCy and BioBERT, and applies deterministic pattern-driven open information extraction to produce normalized subject-predicate-object triples. These triples populate a multi-view biomedical knowledge graph (KG) in NetworkX, partitioned by relation type (e.g., treatment, symptom association, contraindication). For query processing, both user questions and KG components are embedded with a proprietary OpenAI model; relevant graph passages are retrieved via approximate nearest neighbor search. A two-stage answer generation cascade first leverages BioGPT for domain-specific draft responses, followed by GPT-4o-mini for fluency and factual refinement. We evaluate our system on three publicly available healthcare datasets, benchmarking generated answers against human ground truths using BERTScore, ROUGE-L, and METEOR. Experimental results demonstrate that MED-KG-LLM substantially outperforms existing baselines (e.g., Microsoft Copilot, DeepSeek) in both semantic accuracy and linguistic quality, highlighting its potential as an end-to-end solution for clinical QA over tabular medical data. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",Biomedical Language Models; Clinical Data Processing; Medical Knowledge Graph; Named Entity Recognition; Open Information Extraction; Question Answering; Retrieval-Augmented Generation,Conference paper
9,Integrating machine learning and a large language model to construct a domain knowledge graph for reducing the risk of fall-from-height accidents,2025,Accident Analysis and Prevention,"Fall-from-height (FFH) accidents remain a major source of workplace injuries and fatalities. Fall protection systems (FPS) are critical for preventing falls in the work-at-height (WAH) environment. However, challenges in designing and selecting effective FPS persist across various industries, and existing tools often lack practical references. This study aims to develop an FFH-specific knowledge graph (FFH-KG) to support FPS design. By structuring accident data, the FFH-KG provides empirical insights to help designers improve FPS frameworks, aiding safety planning and decision-making. It serves as a decision support system for FPS designers and safety professionals, guiding the selection and design of appropriate protection solutions for diverse WAH scenarios. The FFH-KG was constructed using a hybrid natural language processing approach, combining manual extraction, entity recognition, text segmentation, and rule-based relation extraction. It was grounded in a schema layer (i.e., ontology) established by experts. A text-mining approach, integrating machine learning with a large language model, facilitated the categorization of fall types, refinement of WAH scenarios, and identification of fall causes, enhancing the content and applicability of knowledge graph. A total of 2,200 entities and 4,820 relationships were created based on fall protection equipment standard documents and fall-from-height accident investigation reports, forming a foundation for developing countermeasures. The retrieval performance of FFH-KG was validated through three case studies. This research has also made significant progress in intelligent safety engineering and management across industries. © 2025 Elsevier Ltd",Domain knowledge graph; Fall-from-height; Knowledge extraction; Large language model; Named entity recognition; Natural language process,Article
10,PatchFinder: Leveraging Visual Language Models for Accurate Information Retrieval Using Model Uncertainty,2025,"Proceedings - 2025 IEEE Winter Conference on Applications of Computer Vision, WACV 2025","For decades, corporations and governments have re-lied on scanned documents to record vast amounts of information. However, extracting this information is a slow and tedious process due to the sheer volume and complexity of these records. The rise of Vision Language Models (VLMs) presents a way to efficiently and accurately extract the information out of these documents. The current au-tomated workflow often requires a two-step approach in-volving the extraction of information using optical char-acter recognition software, and subsequent usage of large language models for processing this information. Unfor-tunately, these methods encounter significant challenges when dealing with noisy scanned documents, often requiring computationally expensive language models to handle high information density effectively. In this study, we propose PatchFinder, an algorithm that builds upon VLMs to improve information extraction. First, we devise a confidence-based score, called Patch Confi-dence, based on the Maximum Softmax Probability of the VLMs' output to measure the model's confidence in its predictions. Using this metric, PatchFinder determines a suitable patch size, partitions the input document into overlapping patches, and generates confidence-based predictions for the target information. Our experimental results show that PatchFinder, leveraging Phi-3v, a 4.2 billion parameter VLM, achieves an accuracy of 94% on our dataset of 190 noisy scanned documents, outperforming ChatGPT-4o by 18.5 percentage points. © 2025 IEEE.",algorithms; artificial intelligence; computer vision; log likelihood; machine learning; optical character recognition; orphan wells; patchfinder; phi3v; uncertainty quantification; vision language models,Conference paper
